LOWpdb	SD	HYDRO	MW	PI
1G9M_1	0.167967559016618	-0.315384615384615	1629	6.01615384615385
4M7K_1	0.552338784454344	-1.06923076923077	1764	5.83307692307692
3HZK_1	0.349505583249157	-0.684615384615385	1687	5.85692307692308
15C8_1	0.56744265795497	-1.36923076923077	1828	5.73384615384615
1DN0_1	0.805748490031266	-0.892307692307692	1714	5.83615384615385
3RHW_1	0.7971158884836	-0.992307692307692	1730	5.63307692307692
1MJJ_1	0.955794551937286	-1.1	1778	6.16615384615385
4QHL_1	0.579630984887798	-0.538461538461539	1756	5.83538461538462
3EO9_1	0.78093317940961	-1.1	1778	6.16615384615385
4HC1_1	0.308489475428255	-0.876923076923077	1708	5.77230769230769
2XA8_1	0.524676039123427	-0.853846153846154	1638	5.83769230769231
4OAW_1	0.152907598790906	-0.615384615384615	1640	6.14153846153846
4OCX_1	0.981229452835573	-0.315384615384615	1629	6.01615384615385
2QR0_1	0.43196531283457	-0.446153846153846	1595	5.88307692307692
1EHL_1	0.844015381946325	-1.1	1778	6.16615384615385
4PTT_1	0.275803464467907	-0.784615384615385	1567	6.22846153846154
4R7N_1	0.988127317950728	-1.09230769230769	1696	5.59153846153846
4M62_1	0.396246376720971	-0.484615384615385	1620	6.22
4OUU_1	0.433741064730904	-0.0153846153846155	1677	5.68076923076923
3O41_1	0.702036427674756	-0.823076923076923	1608	5.86
1MHP_1	0.618455389815629	-0.7	1635	5.9
1MH5_1	0.165177315658052	-1.1	1778	6.16615384615385
3C09_1	0.571147824833903	-1.1	1778	6.16615384615385
4AEI_1	0.507837874689357	-0.984615384615385	1769	5.69307692307692
3J8W_1	0.00140198011754809	-1.03076923076923	1796	6.13076923076923
4Z5R_1	0.838621536834789	-0.7	1719	6.25307692307692
4M61_1	0.179243790856198	-1.3	1706	6.12923076923077
4OZ4_1	0.146439693063389	-0.392307692307692	1675	6.15769230769231
4ODT_1	0.812252779377025	0.307692307692308	1609	5.62
3H3P_1	0.204418913586779	-0.530769230769231	1648	6.29846153846154
3BAE_1	0.427578444758678	-0.823076923076923	1608	5.86
2P8M_1	0.405682330457056	-0.3	1565	5.86692307692308
4XAK_1	0.400939444427709	-0.484615384615385	1620	6.22
1M71_1	0.980892740734003	-0.376923076923077	1750	5.67384615384615
4S2S_1	0.269325659245458	-0.361538461538462	1665	5.65153846153846
1IND_1	0.798028692431862	-0.446153846153846	1727	5.26538461538461
4TTD_1	0.0436044467686514	-0.515384615384615	1671	6.19615384615385
4R8W_1	0.52358980592904	-1.33076923076923	1607	6.54846153846154
4UIK_1	0.182333847489984	-0.546153846153846	1808	5.87846153846154
1L7I_1	0.786082466595796	-1.13076923076923	1721	6.22230769230769
3OPZ_2	0.170795279034578	-1.01538461538462	1777	6.26769230769231
5D6C_1	0.723680657030781	-0.453846153846154	1694	5.89923076923077
3RA7_1	0.729175583827381	0.161538461538462	1632	5.72923076923077
4LMQ_1	0.348680010657336	-1.06153846153846	1665	5.81692307692308
1YEC_1	0.422832949997593	-1.42307692307692	1805	6.52
3EFF_1	0.464682999431334	-0.446153846153846	1595	5.88307692307692
3FZU_1	0.593856559111712	-0.484615384615385	1671	5.88153846153846
1R24_1	0.96494124813094	-0.153846153846154	1709	5.40307692307692
4Q2Z_1	0.691440830449361	-0.723076923076923	1712	6.19384615384615
4FFW_1	0.171669263016124	-1.21538461538462	1677	6.11384615384615
1TZH_1	0.352165339981802	-0.653846153846154	1623	5.65923076923077
1Q9O_1	0.402173375081777	-0.684615384615385	1687	5.85692307692308
4ORG_3	0.643291101291243	-0.653846153846154	1606	6.21769230769231
1AFV_1	0.238492975158599	-0.784615384615385	1762	6.15230769230769
3Q3G_1	0.907691754977427	-1.36923076923077	1828	5.73384615384615
4NYL_1	0.3979496973555	-0.246153846153846	1579	5.90769230769231
1CLY_1	0.154586977396225	-0.976923076923077	1783	5.68692307692308
2G2R_1	0.61628527910417	-1.43076923076923	1791	6.65153846153846
1BLN_1	0.696408255587196	-0.938461538461539	1707	5.68846153846154
4U6V_1	0.0353383684965795	-0.915384615384616	1649	5.68230769230769
1MRD_1	0.50425430038457	-0.784615384615385	1762	6.15230769230769
4DKE_1	0.232649444718875	-0.453846153846154	1694	5.89923076923077
1FVE_1	0.455248073649963	-0.484615384615385	1671	5.88153846153846
2ZCH_1	0.190778852039041	-0.161538461538462	1715	5.84769230769231
1NCW_1	0.767520297049329	-1.29230769230769	1665	6.23
1TPX_1	0.38490784221984	-0.707692307692308	1638	5.98307692307692
4G80_1	0.24577127991878	-0.446153846153846	1595	5.88307692307692
4JR9_1	0.306915323990728	-0.0692307692307694	1519	5.91384615384615
2QQK_1	0.999873737335119	-0.415384615384615	1565	5.90538461538461
3UAJ_1	0.62348311443829	-0.892307692307692	1714	5.83615384615385
2XQY_1	0.855924474355067	-1.06923076923077	1765	5.63
2G5B_1	0.6340500950479	-0.246153846153846	1600	5.90615384615385
1AY1_1	0.584172731743363	-0.653846153846154	1622	5.86230769230769
4QHU_1	0.264848259106985	-0.246153846153846	1579	5.90769230769231
1A6U_1	0.888884437377716	-1.00769230769231	1815	5.65538461538462
4M5Y_1	0.868605616769966	-0.923076923076923	1728	6.16923076923077
4RGM_1	0.162976799354998	-0.715384615384615	1708	5.80230769230769
1EZV_1	0.794432334797935	-0.346153846153846	1772	5.55461538461538
4NRZ_1	0.0725661263124874	-0.653846153846154	1710	5.87461538461538
1LO0_1	0.457196486479245	-1.06153846153846	1637	5.86538461538461
5DUR_1	0.0442804408514622	-0.892307692307692	1714	5.83615384615385
4POZ_1	0.656404497420861	-0.0846153846153846	1756	5.86923076923077
3U30_1	0.99377847688129	-0.484615384615385	1671	5.88153846153846
4CAD_1	0.202570775470986	-1.24615384615385	1809	6.11615384615385
